"Site Id","Website Token"
"Install Path","Installation path"
"Enable","Status"
"Website Token","Website Token"
"Location","Location"
"Encryption Token","Encryption Token"
"Find the website token in the dashboard","Find the website token in the dashboard"
"Find the account token in the dashboard","Find the account token in the dashboard"
"Find the encryption token in the dashboard","Find the encryption token in the dashboard"
"Only when enabled visitor data is tracked","Only when enabled visitor data is tracked"
"Yes","Enabled"
"No","Disabled"
"Advanced","Advanced"
"Checkout URL","Checkout URL"
"Enter the URL to the checkout page","Enter the URL to the checkout page"